ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-02-14,407.63574525,393.6331575139713,416.11815045118504,407.63574525,407.63574525,-2.177900276652513,-2.177900276652513,-2.177900276652513,-2.177900276652513,-2.177900276652513,-2.177900276652513,0.0,0.0,0.0,405.4578449733475
2024-02-15,408.00318565368855,395.3950089726336,417.8356594106331,408.00318565368855,408.00318565368855,-2.225048782491437,-2.225048782491437,-2.225048782491437,-2.225048782491437,-2.225048782491437,-2.225048782491437,0.0,0.0,0.0,405.7781368711971
2024-02-16,408.3706260573771,396.3845501959317,419.1619155421627,408.3706260573771,408.3706260573771,-0.7265034817258339,-0.7265034817258339,-0.7265034817258339,-0.7265034817258339,-0.7265034817258339,-0.7265034817258339,0.0,0.0,0.0,407.64412257565124
2024-02-19,409.4729472684426,396.95700962576,418.6682480724,409.4729472684426,409.4729472684426,-1.6053414442439005,-1.6053414442439005,-1.6053414442439005,-1.6053414442439005,-1.6053414442439005,-1.6053414442439005,0.0,0.0,0.0,407.86760582419873
2024-02-20,409.84038767213116,395.8392868729941,419.1670507176206,409.84038767213116,409.84038767213116,-2.389118141126492,-2.389118141126492,-2.389118141126492,-2.389118141126492,-2.389118141126492,-2.389118141126492,0.0,0.0,0.0,407.45126953100464
2024-02-21,410.2078280758197,396.62697621074204,419.62148473540435,410.2078280758197,410.2078280758197,-2.1779002766436597,-2.1779002766436597,-2.1779002766436597,-2.1779002766436597,-2.1779002766436597,-2.1779002766436597,0.0,0.0,0.0,408.02992779917605
2024-02-22,410.5752684795082,397.06185706971456,419.76550189197854,410.5752684795082,410.5752684795082,-2.225048782499242,-2.225048782499242,-2.225048782499242,-2.225048782499242,-2.225048782499242,-2.225048782499242,0.0,0.0,0.0,408.350219697009
2024-02-23,410.9427088831967,399.2508521086301,421.4047940210472,410.9427088831967,410.9427088831967,-0.7265034817277737,-0.7265034817277737,-0.7265034817277737,-0.7265034817277737,-0.7265034817277737,-0.7265034817277737,0.0,0.0,0.0,410.2162054014689
2024-02-26,412.0450300942623,398.48903714180904,420.71726991326574,412.0450300942623,412.0450300942623,-1.605341444247964,-1.605341444247964,-1.605341444247964,-1.605341444247964,-1.605341444247964,-1.605341444247964,0.0,0.0,0.0,410.4396886500143
2024-02-27,412.4124705428059,398.5124451545189,421.16704386024344,412.4124705428059,412.4124705428059,-2.3891181411352727,-2.3891181411352727,-2.3891181411352727,-2.3891181411352727,-2.3891181411352727,-2.3891181411352727,0.0,0.0,0.0,410.02335240167065
2024-02-28,412.77991099134954,399.34935479027735,422.23888319107334,412.77991099134954,412.77991099134954,-2.1779002766535482,-2.1779002766535482,-2.1779002766535482,-2.1779002766535482,-2.1779002766535482,-2.1779002766535482,0.0,0.0,0.0,410.602010714696
2024-02-29,413.14735143989316,399.8094053004777,422.11212366818563,413.14735143989316,413.14735143989316,-2.2250487824964047,-2.2250487824964047,-2.2250487824964047,-2.2250487824964047,-2.2250487824964047,-2.2250487824964047,0.0,0.0,0.0,410.92230265739676
2024-03-01,413.5147918884368,401.4857487770464,423.8442064206536,413.5147918884368,413.5147918884368,-0.7265034817179964,-0.7265034817179964,-0.7265034817179964,-0.7265034817179964,-0.7265034817179964,-0.7265034817179964,0.0,0.0,0.0,412.7882884067188
2024-03-02,413.8822323369804,411.1517770931104,433.40019086466816,413.8822323369804,413.8822323369804,8.163558175877547,8.163558175877547,8.163558175877547,8.163558175877547,8.163558175877547,8.163558175877547,0.0,0.0,0.0,422.04579051285793
2024-03-04,414.61711323406763,400.84931379191335,423.9851204219781,414.61711323406763,414.61711323406763,-1.6053414442412783,-1.6053414442412783,-1.6053414442412783,-1.6053414442412783,-1.6053414442412783,-1.6053414442412783,0.0,0.0,0.0,413.01177178982635
2024-03-05,414.9845536826112,402.60815041073994,423.01830988717876,414.9845536826112,414.9845536826112,-2.3891181411173394,-2.3891181411173394,-2.3891181411173394,-2.3891181411173394,-2.3891181411173394,-2.3891181411173394,0.0,0.0,0.0,412.5954355414938
2024-03-06,415.35199413115487,402.60830731279617,425.01784083217086,415.35199413115487,415.35199413115487,-2.1779002766713322,-2.1779002766713322,-2.1779002766713322,-2.1779002766713322,-2.1779002766713322,-2.1779002766713322,0.0,0.0,0.0,413.17409385448354
2024-03-07,415.71943457208846,402.04774228084653,424.21827487284037,415.71943457208846,415.71943457208846,-2.2250487824958505,-2.2250487824958505,-2.2250487824958505,-2.2250487824958505,-2.2250487824958505,-2.2250487824958505,0.0,0.0,0.0,413.4943857895926
2024-03-11,417.1891963358229,404.39809507541014,426.5433465174073,417.1891963358229,417.1891963358229,-1.6053414442453415,-1.6053414442453415,-1.6053414442453415,-1.6053414442453415,-1.6053414442453415,-1.6053414442453415,0.0,0.0,0.0,415.5838548915775
